cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2024-12880,ragflow,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,3.0,8.0,N,L,L,N,U,H,N,H
CVE-2024-53450,ragflow,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,7.5,N,L,N,N,U,H,N,N
CVE-2025-48187,ragflow,严重,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,3.1,9.1,N,L,N,N,U,H,H,N
CVE-2025-51462,ragflow,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1,6.0,N,L,N,R,C,L,L,N
CVE-2026-45312,ragflow,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.1,9.9,N,L,L,N,C,H,H,H
CVE-2023-48022,ray,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2023-6019,ray,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2023-6020,ray,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,3.0,9.3,N,L,N,N,C,H,L,N
CVE-2023-6021,ray,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N,3.0,9.3,N,L,N,N,C,H,L,N
CVE-2024-57000,ray,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2025-1979,ray,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:L/A:N,3.1,6.3,L,H,L,N,C,H,L,N
CVE-2026-32981,ray,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,7.5,N,L,N,N,U,H,N,N
CVE-2026-10300,sglang,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1,3.6,N,H,N,N,U,N,N,L
CVE-2026-10775,sglang,LOW,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:L,3.1,3.6,L,H,L,N,U,N,L,L
CVE-2026-5760,sglang,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
