rule_id,name,description,author,categories,prompt_length,source_file
"cors_misconfig","[example] CORS Misconfiguration Detection","Detect misconfigured Cross-Origin Resource Sharing (CORS) policies in MCP code that could lead to security vulnerabilities","腾讯朱雀实验室","code",5213,"/Users/elwood/Desktop/test/original/AI-Infra-Guard/data/mcp/cors.yaml"
"mcp_command_injection","MCP Tool Command Injection Detection","Detect MCP server tools that pass tool-call arguments into a shell, evaluator, or dynamic-import sink without sanitization, allowing argument-driven remote code execution (the mcp-remote / FastMCP-class vulnerability).","ATR (Agent Threat Rules)","code",2619,"/Users/elwood/Desktop/test/original/AI-Infra-Guard/data/mcp/mcp_command_injection.yaml"
"mcp_credential_exfiltration","MCP Credential Exfiltration Detection","Detect MCP server code that reads secrets (env vars, key files, tokens) and transmits them to an external or attacker-controllable destination, or exposes them through tool output.","ATR (Agent Threat Rules)","code",2467,"/Users/elwood/Desktop/test/original/AI-Infra-Guard/data/mcp/mcp_credential_exfiltration.yaml"
"mcp_tool_poisoning","MCP Tool Poisoning Detection","Detect hidden or malicious instructions embedded in MCP tool descriptions, parameter docstrings, or tool output that manipulate the host agent into unintended actions (tool poisoning / indirect prompt injection via tool metadata).","ATR (Agent Threat Rules)","code",2716,"/Users/elwood/Desktop/test/original/AI-Infra-Guard/data/mcp/tool_poisoning.yaml"
